push-up	armheving
voice over	fortellerstemme, kommentatorstemme
workspace	arbeidsområde, arbeidsflate (IKT)
deadline	leveringsfrist, tidsfrist, frist
designer	formgjevar/formgiver
m-commerce	m-handel, mobilhandel
hotlist	favorittliste, yndlingsbokmerke/yndlingsbokmerker (IKT)
off-piste	laussnøkjøring/løssnøkjøring, frikjøring
quilte	sy (vattert) lappeteppe, jf. patchwork
tights	trongbukse/trangbukse
blackout	jernteppe, minnesvinn (allment); mellombels medvitstap / midlertidig bevissthetstap (med.); stort straumbrot / stort strømbrudd (tekn.)
finish	sluttspurt; finpuss; finisj
hit-and-run	ram og røm
stretchlaken	strekklaken
sweatshop	lavlønnsfabrikk, systove / systue (historisk)
thumbnail	miniatyrbilete/miniatyrbilde, knøttbilete/knøttbilde (IKT)
voice response	talesvar, innvalssørvis/innvalgssørvis, talerespons
approach	tilnærming(småte), framgangsmåte, (innfalls)vinkel
mansplaining	gubbedosering, gubbebelæring / gubbelæring, mannstruering, stutgreiing
netbook	miniberbar/minibærbar (datamaskin, pc) (IKT)
controller	rekneskapsleiar/regnskapsleder, økonomioppfølgjar/økonomioppfølger, kontrollar/kontroller
killer application («killer app»)	tetprogram, vinnarprogram/vinnerprogram (IKT)
zero waste	null avfall, nullavfall, null svinn, nullsvinn
faction	faksjon (fakta + fiksjon)
speaking notes	handnotat/håndnotat, foredragsmanus, talemanus, talenotat/talenotater
bodybuilding	kroppsbygging
brainstorming	idédugnad, idémyldring
cyber	kyber- (brukt om datamaskiner og Internett-universet)
gadget	dings
segway	ståhjuling (er allerede godt etablert i norsk)
single touch-screen	enkelttrykksskjerm/eittrykksskjerm (IKT)
design	formgjeving/formgivning, utforming, jf. layout
fair	rimeleg/rimelig, rettferdig, real, ærleg/ærlig
stalker	forfølger/forfølgjar, (nyno. òg:) eltar
underscore	understrek, understreking
cash management	likviditetsstyring
cottage cheese	hytteost
cyberstalking	nettforfølging/nettforfølgelse, nett-elting, nettsjikane, netterror
housed	husa/huset
stand-in	reserve
branding	merkevarebygging (nær.liv); brennemerking (tatoveringsteknikk)
employer branding	arbeidsgjevarprofilering/arbeidsgiverprofilering
recovery	(helse) tilfrisking/tilfriskning
rockhopping	(i havpadling:) brot(t)leik, brot(t)padling
build	versjonssteg, versjonstrinn (IKT)
front-office	kontorklient(program), jf. backoffice
loin	(om fisk:) rygg (f.eks. torskerygg), ryggstykke, ryggfilet (uten halestykket)
shoppingsenter	kjøpesenter, butikksenter
speed dating	snøggstemnemøte/hurtigstevnemøte 
turnover	gjennomtrekk, utskifting, gjennomstrøyming/gjennomstrømming 
bake-off	ferdigheva/ferdighevet, halvsteikt/halvstekt (bakverk som er klargjord for heving og steiking); ferdigsteikt/ferdigstekt; bakekonkurranse (tv-program)
entertainer	underhaldar/underholder, underhaldningsartist/underholdningsartist, enterteinar/enterteiner
scoop	varp, nyheitskupp/nyhetskupp, skup
paring	(mobil) parkopling, paring
snowboard	snøbrett
supporterklubb	støtteklubb, tilhengjarklubb/tilhengerklubb, jf. fanklubb
understatement	underdriving/underdrivelse
crabsticks	krabbepinnar/krabbepinner
flop	fiasko, flopp
headhunte	handplukke/håndplukke, drive hovudjakt / drive hodejakt
babymoon	svangertur, svangersvipp, førbarselreise
cover charge	inngangspengar/inngangspenger, kuvertavgift, entré
paramedic	paramedisinar/paramedisiner (person)
handout	støtteark
key account manager	hovudkundeansvarleg/hovedkundeansvarlig, nøkkelkundeleiar/nøkkelkundeleder, nøkkelkundekonsulent
team	(arbeids)lag, (samarbeids)gruppe
voice actor	stemmelegger
baby shower	
babygåvedryss/babygavedryss, ventefest, førbarselsfest
byline picture	signaturbilete/signaturbilde
feature	preg-, bakgrunns-, dokumentar-, interesse-, tema- (i ymse samansetjingar, t.d. med -artikkel , -journalistikk)
tooltip	verktøyhjelp (IKT)
mainstream	hovudstraums-/hovedstrøms-, midtstims-, midtstraums-/midtstrøms-
memory card	minnekort
referee	fagkonsulent (i tidsskrift)
equalizer	tonekontroll; utjamnar/utjevner, utjamningsfilter/utjevningsfilter, jf. graphic equalizer
time	berekne/beregne, planleggje/planlegge, taime
blooming	punktforteikning/punktfortegning, svelling (tekn., IKT)
button	(jakke)merke (allment); knapp (IKT)
driver	drivar/driver (norsk uttale), styreprogram
instant message	direktemelding, hurtigmelding, snøggmelding
skateboard	rullebrett
golden goal	førstemålssiger/førstemålsseier, «første målet vinn» / «første målet vinner»
metallic	(med) metallglans
whistleblower	varslar/varsler
offroad-sykkel	terrengsykkel, jf. mountain bike
poster	plakat
server	tenar/tjener, jf. webserver
trick or treat	knask eller knep, godteri eller fanteri, snask eller snusk, grøss eller godteri (seier barna på graskarkvelden: amerikansk Halloween)
allrounder	allsidig person, altmoglegperson/altmuligperson, mangkunnig person, faktotum, «potet»
benchmarking	referansemåling, referansenormering, styringsnormering
e-business	e-forretningar/e-forretninger, e-forretningsdrift; e-forretning (om det enkelte firmaet)
session-at-once	delbrenning, øktbrenning, fleirøktsbrenning/flerøktsbrenning, jf. disc-at-once
chip	(data)brikke, integrert krins / integrert krets, jf. integrated circuit, microchip
multi touch-screen	fleirtrykksskjerm/flertrykksskjerm (IKT)
proof of concept (poc)	konseptprov/konseptbevis
musical	musikkspel/musikkspill, musikal
breakdance	breikdans
greenkeeper	golfgartnar/golfgartner
lipgloss	leppeglans
orphan drug	smalt lækjemiddel / smalt legemiddel, fåbrukarmedikament/fåbrukermedikament
outlet	fabrikkutsalg, merkevareutsalg
time manager	tidsplanleggjar/tidsplanlegger
time-outtime outtimeout	det å gå i tenkjeboksen / det å gå i tenkeboksen, pause (ped.), tidsavbrot / tidsavbrudd (IKT)
eyeliner	kajal, augeblyant/øyeblyant, jf. lipliner
fair play	ærleg spel /ærlig spill, rettferdig behandling
fund raising	pengeinnsamling, innsamlingsaksjon
to-do-liste	gjereliste/gjøreliste, gjeremålsliste/gjøremålsliste
touch screen	trykkskjerm
wearable computer	kropps-PC, kroppsboren datamaskin / kroppsbåret datamaskin, plagg-PC
access	tilgang
mnemonics	hugsekunst/huskekunst, hugseteknikk/husketeknikk
spotlight	punktlys, punktlampe, spotlys, rampelys
slash	skråstrek
soundtrack	lydspor
backlog	restanse, etterslep
match	kamp (idr.); jambyrdig motstandar / jevnbyrdig motstander, make; (full) klaff
ransomware	løysepengevirus/løsepengevirus, utpressingsvirus, gisselskadevare
video on demand	video på førespurnad / video på forespørsel; videotorg, tingingsvideo/bestillingsvideo
disc-jockey	plateprater, platesnurrer, platekusk, plateryttar/platerytter, diskjockey
podcast	podkast, poddkast
rail	takreling, takhaldar/takholder (tekn.); reling (allment)
release	plateslepp/plateslipp
talkshow	prateprogram
fatbike	tjukksykkel, tjukkel
lighter	(sigarett-)tennar/(sigarett-)tenner
must	nødvendigheit/nødvendighet
empowerment	myndiggjering/myndiggjøring, styrking (f.eks. pasientstyrking)
literacy	skriftkultur, skriftkunne/skriftkyndighet, tekstkompetanse, litterasitet
standbymodus	ventemodus, kvilemodus/hvilemodus (tekn., IKT)
breakdown	samanbrot/sammenbrudd, havari, driftsfeil, oppdeling, spesifikasjon
help desk	hjelpesentral, hjelpeteneste/hjelpetjeneste, kundehjelp, svarteneste/svartjeneste, jf. call center og support
standby	klar, parat, i beredskap (allment); beredskaps- (-fartøy, -troppar o.a.) (mil.)
web designer	vevutformar/vevutformer, nettskreddar/nettskredder, vevarkitekt, nettsidearkitekt
back-office	kontortenar(program)/kontortjener(program) (IKT); kontorstøtte (adm.); jf. front-office
by-line (byline)	namnestripe/navnestripe, signatur
rack	reol (mus., IKT, allment)
publishing on demand	medieuavhengig publisering, medienøytral publisering, jf. print on demand og on demand
content management	innhaldsstyring/innholdsstyring
empower	myndiggjere/myndiggjøre, styrke, gje/gi styrke, setje i stand / sette i stand
feed	straum/strøm (i sosiale medium/sosiale medier)
urbanist	byplanleggjar/byplanlegger
whiteboard	tusjtavle
backing	støtte, hjelp, oppfølging (allment); komp, akkompagnement, støtte (mus.); jf. oppbacking, backup
double slash	dobbel skråstrek / dobbelt skråstrek, jf. slash
maile	sende e-post, e-poste
junk food	søppelmat, usunn mat, gatekjøkkenmat, jf. fast food
paper	forskingsartikkel/forskningsartikkel, vitskapleg innlegg/vitenskapelig innlegg
roaming	nettveksling, nett(om)streifing, nettgjesting
screen dump	skjermdump, skjermbiletkopi/skjermbildekopi
supporter	tilhengjar/tilhenger, støttemedlem
browser	nettlesar/nettleser
crowdsourcing	(nett)dugnad
file server	filtenar/filtjener
system engineering	systemutvikling
common sense	sunn fornuft, folkevett/folkevit
content marketing	innhaldsmarknadsføring/innholdsmarkedsføring
guide	omvisar/omviser, turleder/turleiar, reiseleiar/reiseleder, gaid
skins	drakt, tema, ham (IKT), jf. themes
target man	oppspelspunkt/oppspillspunkt (idr.)
timeshare	tidspart, deltids(bruks)rett; parts-/andels- (t.d. -båt, -hytte)
e-book reader	lesebrett
process flow	prosessflyt
scroll bar	rullefelt, rullesjakt (IKT)
happy hour	billigtime, timetilbod/timetilbud
printer	skrivar/skriver
case	(jf. case study:) kasus, tilfelle, sak, emne, eksempeltilfelle (-person osv.), døme(tilfelle), typeeksempel, typedøme; undersøkelsesobjekt, granskingsemne
chat	nettprat
guts	(ha) mot, pågangsmot, vågemot, karakter(styrke), tæl, nerk; (være/vere) modig, djerv, uredd, ikke/ikkje skvetten
shoppe	handle, gå på handletur, gå i butikkar / gå i butikker
standbybillett	sjansebillett
think-tank	tenkjesmie/tenkesmie, tenkjetank/tenketank
all hazards approach	heilskapleg faretilnærming / helhetlig faretilnærming, generell faretilnærming, fullstendig faretilnærming
compliance	etterleving, regeletterleving/regeletterlevelse, regeloppfylling/regeloppfyllelse, samsvar
dedicated	engasjert, ihuga, heilhjarta/helhjertet (allment); dedisert (litt.); dedikert, (særskilt) tilordna/tilordnet og tilpassa/tilpasset (IKT), laga/laget for
baby lag	vaketåke/våketåke
handsfree	handfri/håndfri (mobiltelefon)
multitasking	fleiroppgåvekjøring/fleroppgavekjøring (IKT)
flow	strøm; (psyk.:) flyt
workflow	arbeidsflyt, arbeidsgang
out-of-office message	fråværsmelding/fraværsmelding
pop-up menu	oppsprettsmeny, sprettoppmeny, hurtigmeny, snøggmeny
whiplash	nakkesleng
access code	tilgangskode
dot	punktum (i Internett- og e-postadresser)
e-tailer	e-taljist, nettkjøpmann
knowledge management	kunnskapsleiing/kunnskapsledelse, kompetanseleiing/kompetanseledelse
sous vide	vakuumlaga mat / vakuumlaget mat, vakuumtilverka mat / vakuumtilberedt mat, vakuumtrekt mat / vakuumtrukket mat, vakuumtilverking / vakuumtilberedelse
worst case scenario	i verste fall, verste fall-scenario, verste tilfelle-scenario
attachment	vedlegg
babyboomer	babybølgjebarn/babybølgebarn, fødselsbølgjebarn/fødselsbølgebarn
desktop publishing	skrivebordssetjing/skrivebordssetting
wizard	vegvisar/veiviser, los (i dataprogram)
workshop	arbeidsseminar, arbeidsmøte, verkstad/verksted (f.eks. idéverkstad/idéverksted)
backlash	tilbakeslag, motreaksjon
cellulite	appelsinhud, cellulittar/cellulitter
twintip	totupp
infotainment	info(r)nøyelse, nyheitsunderhaldning/nyhetsunderholdning, tabloid-
makerspace	folkeverkstad/folkeverksted
wicked problem	gjenstridig problem
hi-tech	høgteknologisk/høyteknologisk
jingle	lydvignett, lydlogo
plug-in	programtillegg
backtracking	tilbakesporing (IKT)
canyon	gjel, kløft, juv
gender reveal party	kjønnsavsløringsfest
scrapie	skrapesjuke/skrapesyke (hos sau)
software	programvare
sound	klangfarge, lydstil
bookmark	bokmerke, favoritt
insider	innsidar/innsider
performance-kunst	framføringskunst
chips	potetgull, potetlauv/potetløv; (mer allment:) flak, spon
hard disk	platelager, harddisk
short message system (sms)	kortmeldingsteneste/kortmeldingstjeneste (for SMS-meldingar, dss. tekstmeldingar)
quilt	(vattert) lappeteppe, jf. patchwork
bodybuilder	kroppsbyggjar/kroppsbygger
factoring	faktoring, fakturakreditt
keyboard	tangentbrett (mus.); tastatur (IKT)
single hop	einhumla øl / enhumlet øl
embed	bygge inn / byggje inn, setje/sette, felle
leasing	leigefinansiering/leiefinansiering
outsider	utsidar/utsider
outsourcing	utkontraktering, tenesteutsetjing/tjenesteutsetting 
fun fact	morofakta
manual	handbok/håndbok, bruksrettleiing/bruksanvisning
noise words	støyord (IKT)
housing	husing
kick-off	avspark (idr.); oppstart, start (allment)
management	leiing/ledelse (bedrifts-), styring
roll-up	rullebanner, rulleplakat
streaming	strøyming/strømming (direkteavspeling/direkteavspilling av video og lyd over Internett) (IKT)
aftershave	etterbarberingsvatn/etterbarberingsvann
catwalk	motemolo
deep fake	avansert videomanipulering
browse path	katalogstig/katalogsti, filstig/filsti (IKT), jf. search path
mail	e-post, e-brev, e-melding, jf. e-mail
release party	(plate)sleppfest/(plate)slippfest
support	brukarstøtte/brukerstøtte (IKT); støtte (allment); jf. help desk
webmaster	nettredaktør, nettadministrator, nettmeister/nettmester, vevadministrator, vevmeister/vevmester, vevredaktør
ghost writer	skyggeforfatter / skuggeforfattar
mute	dempar/demper
patch	reparasjonsfil, programfiks, feilfiks (IKT)
peer-to-peer network	likenett, jambyrdsnett/jevnbyrdsnett
p2p	likenett, jambyrdsnett/jevnbyrdsnett
peptalk	peppreik, pepprat, kveikpreik, piffprat
sit-up	magebøying, bukbøy
clue	nøkkel, kjerne, poeng
frisbee	disk, skjenebrett, sendeplate
keeper	målvakt
beacon technology	mobilfyrteknologi, nettvardeteknologi
mindfulness	oppmerksomt nærvær / merksamt nærvær, ans
dummy	modell, prototyp, falsk, uekte, skinn-
india pale ale	indiaøl
joint venture	samføretak/samforetak, fellesføretak/fellesforetak, samarbeidsprosjekt
backslash	omvend skråstrek / omvendt skråstrek
lipliner	leppeblyant, leppekajal, jf. eyeliner
whiteboard-svamp	tavleviskar/tavlevisker
infomercial	infoklame
offline	nedkopla/nedkoplet, fråkopla/frakoplet, jf. online
selfie	sjølis, selvis / sjølvis, selvportrett, sjølportrett / sjølvportrett, selvfoto, sjølfoto / sjølvfoto, selvknips, sjølknips / sjølvknips, egofoto, egobilde/egobilete
aircondition	klimaanlegg, luftkondisjonering
copyright	opphavsrett
hardware	maskinvare
muddling through	småstegsmetoden / de små skritts metode [prosess, metode]
teambuilding	lagutvikling, lagbygging
trigge	setje i gang / sette i gang, utløyse/utløse
allround-	altmogleg-/altmulig-, allsidig, allmenn-, universal-
art director (ad)	kunstnarleg leiar/kunstnerisk leder (teater m.m.); grafisk formgjevar/formgiver (rekl.); reklamesjef (arb.liv)
artist in residence	gjestekunstnar/gjestekunstner
manager	leiar/leder, sjef, forretningsførar/forretningsfører, impresario, arrangør
swimming pool	symjebasseng/svømmebasseng
backlist	tittellager, tittelportefølje (allment); bokportefølje (i forlag)
business-to-business	handel mellom næringsdrivande / handel mellom næringsdrivende, handel mellom bedrifter, bedriftshandel
image	uttrykk, (personleg/personlig) stil, profil, omdømme, ry
bodyguard	livvakt
booster	forsterkar/forsterker, effektforsterkar/effektforsterker, sluttforsterkar/sluttforsterker
direct mail	direktereklame
default	standard(verdi), standardinnstilling (grunn-, forhånds-, normal-, leverandør-, produsent-)
live	direktesend/direktesendt, direkte
network governance	nettverksstyring
newsgroup	temagruppe, nyheitsgruppe/nyhetsgruppe, diskusjonsgruppe (IKT)
patchwork	lappeteknikk, jf. quilt
barbecue	(hage)grill; grillmat; grillfest
